"Day","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout","Conversion rate","Day (20251115)","Sessions (20251115)","Sessions with cart additions (20251115)","Sessions that reached checkout (20251115)","Sessions that completed checkout (20251115)","Conversion rate (20251115)","Sessions (20251115) ","Sessions with cart additions (20251115) ","Sessions that reached checkout (20251115) ","Sessions that completed checkout (20251115) ","Conversion rate (20251115) "
"2025-11-15",366,32,29,6,0.01639344262295082,"2025-11-15",366,32,29,6,0.01639344262295082,0,0,0,0,0
"2025-11-16",359,47,31,13,0.036211699164345405,"2025-11-16",359,47,31,13,0.036211699164345405,0,0,0,0,0
"2025-11-17",225,17,15,8,0.035555555555555556,"2025-11-17",225,17,15,8,0.035555555555555556,0,0,0,0,0
"2025-11-18",247,19,18,12,0.048582995951417005,"2025-11-18",247,19,18,12,0.048582995951417005,0,0,0,0,0
"2025-11-19",280,31,26,14,0.05,"2025-11-19",280,31,26,14,0.05,0,0,0,0,0
"2025-11-20",118,15,12,10,0.0847457627118644,"2025-11-20",118,15,12,10,0.0847457627118644,0,0,0,0,0
"2025-11-21",107,6,9,2,0.018691588785046728,"2025-11-21",107,6,9,2,0.018691588785046728,0,0,0,0,0
"2025-11-22",197,28,21,7,0.03553299492385787,"2025-11-22",197,28,21,7,0.03553299492385787,0,0,0,0,0
"2025-11-23",197,19,20,10,0.050761421319796954,"2025-11-23",197,19,20,10,0.050761421319796954,0,0,0,0,0
"2025-11-24",256,17,14,7,0.02734375,"2025-11-24",256,17,14,7,0.02734375,0,0,0,0,0
"2025-11-25",180,19,19,10,0.05555555555555555,"2025-11-25",180,19,19,10,0.05555555555555555,0,0,0,0,0
"2025-11-26",631,81,44,25,0.039619651347068144,"2025-11-26",631,81,44,25,0.039619651347068144,0,0,0,0,0
"2025-11-27",790,73,51,25,0.03164556962025317,"2025-11-27",790,73,51,25,0.03164556962025317,0,0,0,0,0
"2025-11-28",1449,170,135,98,0.06763285024154589,"2025-11-28",1449,170,135,98,0.06763285024154589,0,0,0,0,0
"2025-11-29",1087,83,68,34,0.031278748850046,"2025-11-29",1087,83,68,34,0.031278748850046,0,0,0,0,0
"2025-11-30",710,62,58,33,0.04647887323943662,"2025-11-30",710,62,58,33,0.04647887323943662,0,0,0,0,0
"2025-12-01",632,55,51,30,0.04746835443037975,"2025-12-01",632,55,51,30,0.04746835443037975,0,0,0,0,0
"2025-12-02",501,44,37,20,0.03992015968063872,"2025-12-02",501,44,37,20,0.03992015968063872,0,0,0,0,0
"2025-12-03",491,48,35,19,0.038696537678207736,"2025-12-03",491,48,35,19,0.038696537678207736,0,0,0,0,0
"2025-12-04",436,64,57,32,0.07339449541284404,"2025-12-04",436,64,57,32,0.07339449541284404,0,0,0,0,0
"2025-12-05",423,52,51,27,0.06382978723404255,"2025-12-05",423,52,51,27,0.06382978723404255,0,0,0,0,0
"2025-12-06",710,152,156,92,0.1295774647887324,"2025-12-06",710,152,156,92,0.1295774647887324,0,0,0,0,0
