"Day","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout","Conversion rate","Day (20251115)","Sessions (20251115)","Sessions with cart additions (20251115)","Sessions that reached checkout (20251115)","Sessions that completed checkout (20251115)","Conversion rate (20251115)","Sessions (20251115) ","Sessions with cart additions (20251115) ","Sessions that reached checkout (20251115) ","Sessions that completed checkout (20251115) ","Conversion rate (20251115) "
"2025-12-26",267,17,14,3,0.011235955056179775,"2025-11-15",366,32,29,6,0.01639344262295082,-27.049180327868854,-46.875,-51.724137931034484,-50,-31.460674157303373
"2025-12-27",433,47,32,20,0.046189376443418015,"2025-11-16",359,47,31,13,0.036211699164345405,20.61281337047354,0,3.225806451612903,53.84615384615385,27.553739562977437
"2025-12-28",270,29,25,11,0.040740740740740744,"2025-11-17",225,17,15,8,0.035555555555555556,20,70.58823529411765,66.66666666666667,37.5,14.583333333333341
"2025-12-29",161,19,14,6,0.037267080745341616,"2025-11-18",247,19,18,12,0.048582995951417005,-34.81781376518219,0,-22.22222222222222,-50,-23.291925465838506
"2025-12-30",171,9,8,4,0.023391812865497075,"2025-11-19",280,31,26,14,0.05,-38.92857142857143,-70.96774193548387,-69.23076923076923,-71.42857142857143,-53.216374269005854
"2025-12-31",143,17,15,8,0.055944055944055944,"2025-11-20",118,15,12,10,0.0847457627118644,21.1864406779661,13.333333333333334,25,-20,-33.98601398601398
"2026-01-01",166,14,16,7,0.04216867469879518,"2025-11-21",107,6,9,2,0.018691588785046728,55.14018691588785,133.33333333333334,77.77777777777777,250,125.60240963855422
"2026-01-02",219,26,23,15,0.0684931506849315,"2025-11-22",197,28,21,7,0.03553299492385787,11.16751269035533,-7.142857142857143,9.523809523809524,114.28571428571429,92.7592954990215
"2026-01-03",188,26,22,11,0.05851063829787234,"2025-11-23",197,19,20,10,0.050761421319796954,-4.568527918781726,36.8421052631579,10,10,15.265957446808516
"2026-01-04",271,23,19,10,0.03690036900369004,"2025-11-24",256,17,14,7,0.02734375,5.859375,35.294117647058826,35.714285714285715,42.857142857142854,34.9499209277807
"2026-01-05",359,33,27,16,0.04456824512534819,"2025-11-25",180,19,19,10,0.05555555555555555,99.44444444444444,73.6842105263158,42.10526315789474,60,-19.77715877437325
"2026-01-06",1077,102,91,68,0.06313834726090993,"2025-11-26",631,81,44,25,0.039619651347068144,70.68145800316957,25.925925925925927,106.81818181818181,172,59.361188486536676
,0,0,0,0,,"2025-11-27",790,73,51,25,0.03164556962025317,-100,-100,-100,-100,
,0,0,0,0,,"2025-11-28",1449,170,135,98,0.06763285024154589,-100,-100,-100,-100,
,0,0,0,0,,"2025-11-29",1087,83,68,34,0.031278748850046,-100,-100,-100,-100,
,0,0,0,0,,"2025-11-30",710,62,58,33,0.04647887323943662,-100,-100,-100,-100,
,0,0,0,0,,"2025-12-01",632,55,51,30,0.04746835443037975,-100,-100,-100,-100,
,0,0,0,0,,"2025-12-02",501,44,37,20,0.03992015968063872,-100,-100,-100,-100,
,0,0,0,0,,"2025-12-03",491,48,35,19,0.038696537678207736,-100,-100,-100,-100,
,0,0,0,0,,"2025-12-04",436,64,57,32,0.07339449541284404,-100,-100,-100,-100,
,0,0,0,0,,"2025-12-05",423,52,51,27,0.06382978723404255,-100,-100,-100,-100,
,0,0,0,0,,"2025-12-06",710,152,156,92,0.1295774647887324,-100,-100,-100,-100,
